,name,country,latitude,longitude,City,MAPE,MAE,MSE
110,nonthaburi,thailand,13.86519,100.52686,nonthaburi,56.20627769137726,13.97030741981119,358.7548497108264
111,chaophraya surasak,thailand,13.12382716332449,100.99924132855864,chaophraya surasak,251.3145318756699,27.275480364612548,1252.8706328316387
112,hat yai,thailand,7.01011,100.47464,hat yai,712.4042091030582,32.567229258653775,1811.7852740794615
113,khon kaen,thailand,16.438838769122594,102.82814683510053,khon kaen,902.3433873494861,33.06773643762884,1861.9221097848597
114,kyaukse,myanmar,21.60714052126881,96.13543497525586,kyaukse,4313.312446911336,36.28615914887713,2162.836258860183
115,mandalay,myanmar,21.93843431365195,96.09075611476808,mandalay,655.7142704201042,32.462327931956416,1812.86117864703
116,pak kret,thailand,13.910893482813412,100.54287299392124,pak kret,96.84047641927394,18.40243917556879,602.7679773849355
117,phnom penh,cambodia,11.567222265546851,104.8726665008166,phnom penh,557.8308349319393,31.790782435090062,1724.1097126706281
118,pyin oo lwin,myanmar,22.03536793432924,96.47160755265308,pyin oo lwin,4371.1687643459545,36.13628312615695,2157.048091560072
119,yenangyaung,myanmar,20.460743098870505,94.8828428563765,yenangyaung,12235.452747006382,36.80780656638849,2222.5021237049573
120,taungoo,myanmar,18.931950967896157,96.4435242151544,taungoo,6739.715398843884,36.43827558156914,2186.2360877992655
121,thayetmyo,myanmar,19.32171055213289,95.17694215733724,thayetmyo,10563.91197630893,36.701373045358835,2211.881052253814
122,pyinmana,myanmar,19.740705732761768,96.20579459863062,pyinmana,1051.4935299263611,33.06736563984025,1862.8036123929414
123,sagaing,myanmar,21.916843269650855,95.96201355084526,sagaing,1196.9839560414696,34.161321662926106,1966.7605282397192
124,syriam,myanmar,16.75984631651299,96.24787302907556,syriam,740.7428454079932,30.068509059624176,1668.8170302714605
125,bogale,myanmar,16.28939088593199,95.40147534090568,bogale,24889.849741776336,36.94007572309603,2235.1979454858106
126,pyapon,myanmar,16.283769218458254,95.68072540662963,pyapon,26932.163570993653,36.92310331910312,2234.2665701211326
127,yamethin,myanmar,20.430649742456065,96.13833164014376,yamethin,10487.196840715262,36.76126951692511,2217.23972952514
128,kawthoung,myanmar,9.993340960479452,98.55482050261284,kawthoung,4283.00338701585,35.91887525040983,2138.234242906657
129,minbu,myanmar,20.17217367368693,94.87108980255437,minbu,5262.666326423578,36.36397746934261,2176.2222654748307
130,tharyarwady,myanmar,17.651135686881208,95.78408706891946,tharyarwady,19317.932749953754,36.893911017226664,2233.085055506179
131,thongwa,myanmar,16.76550669687527,96.53212287830618,thongwa,15252.17557237901,36.847084311171784,2223.3898731833774
132,kyaiklat,myanmar,16.44345167020099,95.72316873668294,kyaiklat,33528.71994959643,36.99757001119705,2241.8170897351206
133,tachilek,myanmar,20.46823822366498,99.90863729943057,tachilek,3600.3215270787573,35.885351053803184,2125.3830004169354
134,maubin,myanmar,16.726999740690403,95.64984782469988,maubin,17327.874183862386,36.94618033916891,2234.912624270518
135,hpa an,myanmar,16.8774873903891,97.6469151684671,hpa an,9880.027915702567,36.48473300993923,2188.1121353641192
136,kyaikto,myanmar,17.312968679512412,97.01484552735856,kyaikto,10223.06096183643,36.62122371270029,2211.6799044796912
