,name,country,latitude,longitude,City,M0_MAPE,M1_MAPE,M2_MAPE
129,tachilek,myanmar,20.46823822366498,99.90863729943057,tachilek,18441.686553231037,348.5633734740536,863.9477853406828
130,maubin,myanmar,16.726999740690403,95.64984782469988,maubin,307.4304964750252,191.5067952476721,147.46716691174584
131,hpa an,myanmar,16.8774873903891,97.6469151684671,hpa an,723.1901064268324,206.65988046934328,155.96796058603414
132,bhamo,myanmar,24.25828451080168,97.22454000618517,bhamo,403.5832559583891,212.38220355415532,153.38459643272734
133,twante,myanmar,16.712698414392662,95.93800304782472,twante,442.77421430727503,461.68691623040314,74.05941684042436
134,myawadi,myanmar,16.68579364298845,98.5010145352739,myawadi,1189.8326232889165,330.4733331152399,201.23572685957143
135,mawlaik,myanmar,23.64850405904461,94.40359321794703,mawlaik,296.9325251307077,208.0542234986615,148.7705110636907
136,myanaung,myanmar,18.261745159767035,95.3242056700436,myanaung,335.58794569691275,203.33151217994381,151.78130997090327
137,kayan,myanmar,16.902866008954724,96.56330088992068,kayan,344.0085750762223,231.76669286798014,163.87487177479468
138,nyaungdon,myanmar,17.04420858710375,95.64218748650651,nyaungdon,330.9968997329953,202.56068842945288,152.37094548795093
139,kathmandu,nepal,27.71355522445278,85.32521223902043,kathmandu,328.36829315233524,308.77304879620584,180.60637818832546
140,naha,japan,26.21253265554088,127.68091651675816,naha,34.55665910360332,56.451626237800525,1213.7357704893784
141,okinawa,japan,26.35054854210086,127.80811058369868,okinawa,37.74171907258281,32.060995231748336,281.6818693420588
142,fukuoka,japan,33.592037872232936,130.40345489583834,fukuoka,8.937750204169062,100.22412426714027,136.72869887943557
143,kitakyushu,japan,33.87222192829876,130.87109189080667,kitakyushu,30.58734762627984,39.79578419121598,224.45572943755792
144,kumamoto,japan,32.80429273342453,130.71487758407625,kumamoto,68.17621567120322,317.97575636460914,1992.584704421368
145,nagasaki,japan,32.75027630983996,129.87711945888125,nagasaki,219.3253582251997,2412.055112804408,745.1523695904565
146,miyazaki,japan,31.90881556894441,131.4250954091057,miyazaki,278.40115551241047,330.4086753807025,190.0801246063546
